Pickup Location,Drop Location,Total_Bookings,Completed_Bookings,Cancelled_Bookings,Revenue,Avg_Ride_Distance,Avg_Booking_Value,Completion_Rate,Cancellation_Rate
Karol Bagh,Palam Vihar,7,6,1,2931.0,33.74,488.5,85.71,14.29
Meerut,ITO,7,5,0,2735.0,26.1,454.57,71.43,0.0
Greater Kailash,Cyber Hub,7,6,0,2538.0,19.48,415.29,85.71,0.0
Samaypur Badli,Greater Noida,7,6,1,3391.0,20.56,565.17,85.71,14.29
Sushant Lok,Gurgaon Sector 29,7,5,2,2609.0,20.34,521.8,71.43,28.57
Hauz Rani,DLF City Court,7,4,3,1579.0,19.07,394.75,57.14,42.86
Sushant Lok,Gwal Pahari,7,6,1,2816.0,30.25,469.33,85.71,14.29
Meerut,Hauz Rani,7,3,2,766.0,21.67,288.25,42.86,28.57
Ambience Mall,Malviya Nagar,7,5,1,1927.0,22.64,336.67,71.43,14.29
Hero Honda Chowk,Meerut,7,5,2,3085.0,39.4,617.0,71.43,28.57
Munirka,Tis Hazari,7,5,2,1981.0,21.64,396.2,71.43,28.57
Greater Kailash,Golf Course Road,7,5,1,1156.0,27.44,268.83,71.43,14.29
Greater Kailash,Govindpuri,7,6,1,4341.0,27.41,723.5,85.71,14.29
Raj Nagar Extension,Tilak Nagar,7,4,2,1627.0,20.96,354.0,57.14,28.57
Sarojini Nagar,Kalkaji,7,6,0,3613.0,23.28,602.17,85.71,0.0
Welcome,Rohini West,7,5,2,4091.0,22.94,818.2,71.43,28.57
Ambience Mall,Lok Kalyan Marg,7,4,3,2536.0,19.2,634.0,57.14,42.86
Meerut,IFFCO Chowk,7,5,0,2030.0,21.62,367.5,71.43,0.0
Meerut,IMT Manesar,7,4,2,2414.0,32.58,603.5,57.14,28.57
Green Park,Saket,7,3,2,1021.0,8.07,373.25,42.86,28.57
Green Park,Sadar Bazar Gurgaon,7,4,3,1780.0,29.62,445.0,57.14,42.86
Samaypur Badli,Tagore Garden,7,4,3,1863.0,7.48,465.75,57.14,42.86
Samaypur Badli,Sushant Lok,7,2,5,1350.0,22.57,675.0,28.57,71.43
Greater Kailash,Huda City Centre,7,3,2,1022.0,15.24,405.25,42.86,28.57
Greater Kailash,IFFCO Chowk,7,5,2,1293.0,31.02,258.6,71.43,28.57
Shastri Park,Tagore Garden,7,4,3,1897.0,31.28,474.25,57.14,42.86
Kaushambi,Qutub Minar,7,5,0,4179.0,29.69,858.29,71.43,0.0
Greater Kailash,Model Town,7,4,1,1864.0,26.79,450.0,57.14,14.29
Govindpuri,Dwarka Mor,7,4,1,3238.0,27.64,815.0,57.14,14.29
Govindpuri,Chandni Chowk,7,6,1,2275.0,22.94,379.17,85.71,14.29
Narsinghpur,Paharganj,7,5,2,2148.0,21.36,429.6,71.43,28.57
Huda City Centre,Dwarka Mor,7,5,1,1462.0,20.73,292.4,71.43,14.29
Mayur Vihar,Udyog Bhawan,7,5,2,4477.0,25.2,895.4,71.43,28.57
Gurgaon Railway Station,Botanical Garden,7,5,1,2629.0,21.91,525.8,71.43,14.29
Karol Bagh,IIT Delhi,7,5,1,3566.0,22.67,700.33,71.43,14.29
Samaypur Badli,Anand Vihar,7,2,5,364.0,31.68,182.0,28.57,71.43
Mayur Vihar,Udyog Vihar Phase 4,7,6,0,1565.0,27.92,303.86,85.71,0.0
Govindpuri,Delhi Gate,7,4,2,1859.0,23.36,395.0,57.14,28.57
Rajiv Nagar,Cyber Hub,7,5,1,2613.0,12.21,522.6,71.43,14.29
Tilak Nagar,Inderlok,7,4,1,1936.0,30.68,418.0,57.14,14.29
Govindpuri,Faridabad Sector 15,7,1,6,181.0,21.71,181.0,14.29,85.71
Mayur Vihar,Vasant Kunj,7,5,2,2345.0,32.95,469.0,71.43,28.57
Samaypur Badli,Ashok Vihar,7,6,0,2622.0,28.05,437.0,85.71,0.0
Govindpuri,Ghitorni,7,1,3,773.0,13.56,502.67,14.29,42.86
Keshav Puram,Meerut,7,6,1,2513.0,30.57,418.83,85.71,14.29
Tis Hazari,Model Town,7,6,1,2587.0,25.07,431.17,85.71,14.29
Ramesh Nagar,Gurgaon Sector 29,7,4,2,2244.0,18.07,561.0,57.14,28.57
Govindpuri,Gurgaon Railway Station,7,2,3,1214.0,18.95,547.0,28.57,42.86
Welcome,New Delhi Railway Station,7,5,1,1580.0,24.6,316.0,71.43,14.29
Govindpuri,Gwal Pahari,7,5,2,1112.0,25.95,222.4,71.43,28.57
Anand Vihar,Ardee City,7,6,0,3714.0,15.3,619.0,85.71,0.0
Mayur Vihar,Vaishali,7,3,2,1442.0,19.75,411.6,42.86,28.57
Govindpuri,Huda City Centre,7,2,4,516.0,35.67,258.0,28.57,57.14
Karol Bagh,IGI Airport,7,4,2,3945.0,30.87,855.6,57.14,28.57
Tis Hazari,Netaji Subhash Place,7,5,2,1872.0,17.6,374.4,71.43,28.57
Adarsh Nagar,Vinobapuri,7,4,3,1056.0,30.42,264.0,57.14,42.86
Anand Vihar,Bhikaji Cama Place,7,5,1,2200.0,22.94,440.0,71.43,14.29
Anand Vihar,Ghaziabad,7,2,3,1130.0,25.23,565.0,28.57,42.86
Huda City Centre,IMT Manesar,7,4,2,1898.0,28.19,395.8,57.14,28.57
Welcome,Moti Nagar,7,4,2,2021.0,41.6,505.25,57.14,28.57
Tilak Nagar,IIT Delhi,7,6,1,3746.0,28.63,624.33,85.71,14.29
Saket A Block,Udyog Bhawan,7,6,1,2945.0,25.55,490.83,85.71,14.29
Huda City Centre,Hauz Rani,7,3,3,2206.0,8.12,650.25,42.86,42.86
Huda City Centre,Hauz Khas,7,4,2,2338.0,23.94,584.5,57.14,28.57
Raj Nagar Extension,Keshav Puram,7,4,3,937.0,18.57,234.25,57.14,42.86
Mehrauli,IIT Delhi,7,5,1,1389.0,23.12,277.8,71.43,14.29
Raj Nagar Extension,Khandsa,7,3,3,1791.0,29.37,597.0,42.86,42.86
Golf Course Road,Vinobapuri,7,5,1,2767.0,28.01,471.33,71.43,14.29
Saket A Block,Vaishali,7,3,4,1332.0,27.07,444.0,42.86,57.14
Narsinghpur,Rohini,7,5,1,2530.0,20.07,506.0,71.43,14.29
Narsinghpur,Rajiv Chowk,7,4,3,757.0,26.16,189.25,57.14,42.86
Huda City Centre,Greater Kailash,7,5,1,1881.0,24.74,338.5,71.43,14.29
Anand Vihar,Chirag Delhi,7,4,2,1179.0,31.85,294.75,57.14,28.57
Saket A Block,Vatika Chowk,7,3,3,1243.0,18.36,414.33,42.86,42.86
Govindpuri,Arjangarh,7,4,1,2015.0,29.68,459.2,57.14,14.29
Narsinghpur,Pulbangash,7,3,1,2239.0,18.73,588.6,42.86,14.29
Welcome,Narsinghpur,7,3,4,2211.0,25.85,737.0,42.86,57.14
Saket A Block,Welcome,7,4,2,941.0,23.54,235.25,57.14,28.57
Kashmere Gate,Netaji Subhash Place,7,4,1,2449.0,30.07,670.8,57.14,14.29
Anand Vihar,Bhiwadi,7,4,2,916.0,18.21,229.0,57.14,28.57
Huda City Centre,Chanakyapuri,7,5,1,1651.0,19.09,472.5,71.43,14.29
Raj Nagar Extension,Mehrauli,7,2,2,707.0,27.62,475.25,28.57,28.57
Akshardham,Ashok Vihar,7,3,3,1168.0,35.22,389.33,42.86,42.86
Govindpuri,Nirman Vihar,7,3,2,1312.0,12.74,492.75,42.86,28.57
Meerut,Ashok Park Main,7,6,0,1235.0,20.29,205.83,85.71,0.0
Hero Honda Chowk,Vishwavidyalaya,7,4,3,2196.0,28.22,549.0,57.14,42.86
Hero Honda Chowk,Vinobapuri,7,2,5,1195.0,43.63,597.5,28.57,71.43
Tis Hazari,Kadarpur,7,5,1,3877.0,22.56,775.4,71.43,14.29
Yamuna Bank,Hauz Rani,7,6,1,3169.0,27.17,528.17,85.71,14.29
Meerut,Ashok Vihar,7,6,0,2626.0,27.92,437.67,85.71,0.0
Tis Hazari,Jor Bagh,7,3,3,2031.0,20.65,677.0,42.86,42.86
Raj Nagar Extension,Palam Vihar,7,5,2,3250.0,26.66,650.0,71.43,28.57
Govindpuri,New Colony,7,4,2,1342.0,27.23,335.5,57.14,28.57
Narsinghpur,ITO,7,6,1,3681.0,37.28,613.5,85.71,14.29
Gurgaon Railway Station,Ashok Park Main,7,6,1,3748.0,25.23,624.67,85.71,14.29
Meerut,Ashram,7,4,2,1151.0,18.99,306.6,57.14,28.57
Narsinghpur,Meerut,7,5,1,3075.0,29.34,669.0,71.43,14.29
Moti Nagar,Uttam Nagar,7,4,2,773.0,21.6,328.0,57.14,28.57
Kashmere Gate,Mundka,7,6,0,3738.0,20.26,582.86,85.71,0.0
Hero Honda Chowk,Udyog Vihar,7,3,2,551.0,32.06,330.25,42.86,28.57
Hauz Rani,Azadpur,7,4,2,2366.0,21.85,576.4,57.14,28.57
Hero Honda Chowk,Tughlakabad,7,3,3,1797.0,22.99,599.0,42.86,42.86
Rajiv Nagar,Chandni Chowk,7,7,0,2870.0,27.94,410.0,100.0,0.0
Sushant Lok,Chirag Delhi,7,4,0,1438.0,25.72,359.4,57.14,0.0
Welcome,Peeragarhi,7,5,1,2147.0,23.52,514.67,71.43,14.29
Sushant Lok,Civil Lines Gurgaon,7,3,3,930.0,18.47,310.0,42.86,42.86
Mehrauli,IGI Airport,7,5,1,5491.0,27.69,1098.2,71.43,14.29
Ramesh Nagar,Ghaziabad,7,2,0,1070.0,15.45,821.8,28.57,0.0
Samaypur Badli,Chhatarpur,7,4,1,1309.0,17.35,297.8,57.14,14.29
Narsinghpur,Janakpuri,7,4,2,1280.0,33.94,320.0,57.14,28.57
Shastri Park,Subhash Chowk,7,5,2,1518.0,38.36,303.6,71.43,28.57
Ambience Mall,Tilak Nagar,7,6,1,2654.0,22.67,442.33,85.71,14.29
Rajiv Nagar,Civil Lines Gurgaon,7,4,1,1524.0,26.62,373.8,57.14,14.29
Anand Vihar,Ambience Mall,7,5,1,2929.0,19.09,585.8,71.43,14.29
Huda City Centre,Bhikaji Cama Place,7,3,4,2456.0,28.38,818.67,42.86,57.14
Huda City Centre,Basai Dhankot,7,2,5,1542.0,44.08,771.0,28.57,71.43
Ramesh Nagar,Green Park,7,3,2,3628.0,19.83,967.6,42.86,28.57
Ambience Mall,Yamuna Bank,7,4,1,1762.0,17.56,438.4,57.14,14.29
Ambience Mall,Vishwavidyalaya,7,6,1,2680.0,19.98,446.67,85.71,14.29
Govindpuri,Janakpuri,7,3,3,1323.0,24.51,451.75,42.86,42.86
Gurgaon Railway Station,Bahadurgarh,7,1,6,404.0,14.29,404.0,14.29,85.71
Sushant Lok,Botanical Garden,7,3,2,3464.0,22.1,1061.5,42.86,28.57
Narsinghpur,Madipur,7,4,3,1103.0,26.68,275.75,57.14,42.86
Huda City Centre,Aya Nagar,7,6,1,4231.0,31.69,705.17,85.71,14.29
Karol Bagh,India Gate,7,7,0,2242.0,25.38,320.29,100.0,0.0
Shivaji Park,Rithala,7,6,0,5964.0,28.79,994.0,85.71,0.0
Tis Hazari,Kherki Daula Toll,7,5,1,1515.0,24.67,330.83,71.43,14.29
Raj Nagar Extension,Netaji Subhash Place,7,5,2,2271.0,28.61,454.2,71.43,28.57
Tis Hazari,Khandsa,7,6,0,4602.0,20.91,767.0,85.71,0.0
Tilak Nagar,Indirapuram,7,2,4,731.0,21.16,679.33,28.57,57.14
Hauz Rani,Aya Nagar,7,4,3,2389.0,26.83,597.25,57.14,42.86
Tis Hazari,Kashmere Gate ISBT,7,3,4,1564.0,20.92,521.33,42.86,57.14
Ambience Mall,Udyog Bhawan,7,4,2,976.0,22.89,337.8,57.14,28.57
Huda City Centre,Anand Vihar,7,2,3,1038.0,20.17,652.5,28.57,42.86
Meerut,Anand Vihar ISBT,7,5,2,1819.0,19.93,363.8,71.43,28.57
Sushant Lok,Jahangirpuri,7,5,2,1864.0,24.27,372.8,71.43,28.57
Rajiv Chowk,Arjangarh,7,4,1,981.0,29.34,245.25,57.14,14.29
Ardee City,IGI Airport,7,7,0,4424.0,16.34,632.0,100.0,0.0
Greater Noida,Rithala,7,7,0,8082.0,30.32,1154.57,100.0,0.0
Samaypur Badli,Sarai Kale Khan,7,4,3,1844.0,22.5,461.0,57.14,42.86
Keshav Puram,Ashok Park Main,7,3,1,1852.0,17.61,649.5,42.86,14.29
Rajiv Chowk,Moolchand,7,4,3,1914.0,34.52,478.5,57.14,42.86
Hauz Rani,Pataudi Chowk,7,5,1,2794.0,26.82,515.17,71.43,14.29
Shivaji Park,Sultanpur,7,4,2,1283.0,21.02,269.4,57.14,28.57
Green Park,Jhilmil,7,3,4,2899.0,20.94,966.33,42.86,57.14
Keshav Puram,Arjangarh,7,3,4,1897.0,11.6,632.33,42.86,57.14
Samaypur Badli,Old Gurgaon,7,6,1,2456.0,27.83,409.33,85.71,14.29
Kashmere Gate,Chandni Chowk,7,4,2,1427.0,26.09,356.75,57.14,28.57
Green Park,Jasola,7,4,1,2543.0,13.65,536.2,57.14,14.29
Rajiv Chowk,Munirka,7,4,1,3041.0,21.48,646.67,57.14,14.29
Hauz Rani,Old Gurgaon,7,3,4,1623.0,19.65,541.0,42.86,57.14
Greater Noida,Subhash Chowk,7,2,1,643.0,13.4,967.75,28.57,14.29
Akshardham,Preet Vihar,7,5,2,1557.0,22.5,311.4,71.43,28.57
Greater Noida,Sadar Bazar Gurgaon,7,5,0,2971.0,23.92,548.33,71.43,0.0
Greater Noida,Saidulajab,7,3,2,1019.0,16.18,414.5,42.86,28.57
Akshardham,Pitampura,7,5,2,2633.0,22.76,526.6,71.43,28.57
Kashmere Gate,Chirag Delhi,7,5,1,3966.0,22.83,797.0,71.43,14.29
Mundka,Rohini,7,3,1,707.0,21.0,531.2,42.86,14.29
Yamuna Bank,Chanakyapuri,7,5,2,2769.0,27.81,553.8,71.43,28.57
Akshardham,Paschim Vihar,7,3,2,1480.0,30.42,459.75,42.86,28.57
Greater Noida,Shastri Nagar,7,7,0,2512.0,24.11,358.86,100.0,0.0
Green Park,Jama Masjid,7,6,0,2360.0,22.98,398.14,85.71,0.0
Meerut,Welcome,7,4,1,2143.0,22.42,598.0,57.14,14.29
Shivaji Park,Sushant Lok,7,5,1,1361.0,26.71,259.83,71.43,14.29
Akshardham,Kadarpur,7,3,3,1644.0,32.04,548.0,42.86,42.86
Greater Noida,Paschim Vihar,7,6,1,2177.0,32.63,362.83,85.71,14.29
Meerut,Sushant Lok,7,4,1,1469.0,29.32,412.0,57.14,14.29
Kashmere Gate,Adarsh Nagar,7,5,0,1268.0,22.9,256.5,71.43,0.0
Samaypur Badli,Model Town,7,4,2,1957.0,35.86,489.25,57.14,28.57
Greater Noida,Karkarduma,7,6,1,3652.0,25.15,608.67,85.71,14.29
Rajiv Chowk,Kirti Nagar,7,4,2,1270.0,27.85,274.6,57.14,28.57
Akshardham,Indraprastha,7,4,2,1237.0,21.58,289.4,57.14,28.57
Greater Noida,Khandsa,7,6,0,5073.0,23.14,845.5,85.71,0.0
Greater Noida,Kherki Daula Toll,7,3,2,1163.0,26.45,349.0,42.86,28.57
Tilak Nagar,Meerut,7,5,1,2772.0,25.1,522.67,71.43,14.29
Akshardham,Jasola,7,5,1,3862.0,16.45,833.5,71.43,14.29
Akshardham,Shastri Nagar,7,5,2,1379.0,23.22,275.8,71.43,28.57
Keshav Puram,Barakhamba Road,7,5,1,2247.0,18.79,573.33,71.43,14.29
Yamuna Bank,Ambience Mall,7,4,1,1823.0,25.68,455.75,57.14,14.29
Samaypur Badli,Nawada,7,3,2,996.0,33.46,332.0,42.86,28.57
Meerut,Rohini West,7,4,2,1332.0,25.24,411.0,57.14,28.57
Hauz Rani,Satguru Ram Singh Marg,7,5,1,2697.0,27.56,528.17,71.43,14.29
Greater Noida,Model Town,7,4,2,2435.0,28.22,608.75,57.14,28.57
Mundka,Vidhan Sabha,7,5,1,2407.0,21.97,481.4,71.43,14.29
Shivaji Park,Tilak Nagar,7,4,2,1650.0,25.47,412.5,57.14,28.57
Keshav Puram,Ashram,7,5,2,1742.0,23.51,348.4,71.43,28.57
Shivaji Park,Tagore Garden,7,7,0,5456.0,31.64,779.43,100.0,0.0
Samaypur Badli,Sarojini Nagar,7,3,3,855.0,25.17,285.0,42.86,42.86
Sarojini Nagar,Greater Noida,7,4,1,1526.0,22.04,367.0,57.14,14.29
Akshardham,Rohini,7,4,3,1979.0,33.46,494.75,57.14,42.86
Tilak Nagar,Punjabi Bagh,7,5,1,4577.0,19.24,800.33,71.43,14.29
Samaypur Badli,Patel Chowk,7,3,3,3138.0,18.55,1136.25,42.86,42.86
Greater Noida,Janakpuri,7,5,2,3601.0,31.62,720.2,71.43,28.57
Mehrauli,Ashok Vihar,7,3,4,1410.0,32.28,470.0,42.86,57.14
Tilak Nagar,Panchsheel Park,7,3,2,1271.0,16.23,423.67,42.86,28.57
Kaushambi,Vidhan Sabha,7,6,0,1808.0,23.32,350.86,85.71,0.0
Green Park,Central Secretariat,7,5,2,3224.0,21.5,644.8,71.43,28.57
Kaushambi,Vatika Chowk,7,6,1,2885.0,25.23,480.83,85.71,14.29
Samaypur Badli,RK Puram,7,4,2,2127.0,26.01,531.75,57.14,28.57
Shivaji Park,Ashok Park Main,7,5,2,2630.0,22.05,526.0,71.43,28.57
Kaushambi,Vaishali,7,6,0,2767.0,22.0,461.17,85.71,0.0
Shivaji Park,Sohna Road,7,3,3,679.0,13.79,224.75,42.86,42.86
Green Park,DLF City Court,7,4,3,2615.0,30.53,653.75,57.14,42.86
Sarojini Nagar,DLF Phase 3,7,5,1,4199.0,24.98,726.17,71.43,14.29
Kashmere Gate,IMT Manesar,7,4,1,1556.0,13.81,437.8,57.14,14.29
Tilak Nagar,Noida Sector 18,7,7,0,3741.0,29.98,534.43,100.0,0.0
Mundka,Pulbangash,7,4,3,2156.0,31.6,539.0,57.14,42.86
Sushant Lok,Noida Sector 62,7,3,3,984.0,26.91,314.5,42.86,42.86
Rajiv Chowk,Preet Vihar,7,6,0,3199.0,24.35,474.29,85.71,0.0
Mundka,Malviya Nagar,7,3,3,2033.0,21.15,677.67,42.86,42.86
Green Park,GTB Nagar,7,5,0,2122.0,20.31,408.83,71.43,0.0
Rajiv Chowk,Pulbangash,7,5,2,976.0,11.43,195.2,71.43,28.57
Shivaji Park,Ashram,7,5,2,2205.0,43.69,441.0,71.43,28.57
Mundka,Madipur,7,4,3,1702.0,26.27,425.5,57.14,42.86
Hauz Rani,Lal Quila,7,5,2,2096.0,20.9,419.2,71.43,28.57
Rajiv Chowk,Rajiv Nagar,7,6,0,4718.0,15.87,724.71,85.71,0.0
Akshardham,Lok Kalyan Marg,7,6,0,3819.0,20.73,677.29,85.71,0.0
Mundka,Khandsa,7,5,1,2592.0,21.14,518.4,71.43,14.29
Green Park,Barakhamba Road,7,3,2,856.0,23.26,285.33,42.86,28.57
Mundka,New Delhi Railway Station,7,7,0,4521.0,28.99,645.86,100.0,0.0
Hauz Rani,Meerut,7,5,1,2430.0,19.28,486.0,71.43,14.29
Sushant Lok,Okhla,7,5,2,2418.0,35.53,483.6,71.43,28.57
Akshardham,Paharganj,7,3,2,1469.0,30.71,405.5,42.86,28.57
Greater Noida,Tilak Nagar,7,4,3,1112.0,22.29,278.0,57.14,42.86
Tilak Nagar,Preet Vihar,7,6,1,2871.0,37.16,478.5,85.71,14.29
Green Park,Jahangirpuri,7,4,2,1396.0,24.88,349.0,57.14,28.57
Greater Noida,Tughlakabad,7,6,1,2261.0,32.74,376.83,85.71,14.29
Rajouri Garden,Sushant Lok,7,4,2,2448.0,28.82,541.0,57.14,28.57
Tilak Nagar,Pragati Maidan,7,1,3,2364.0,13.98,868.67,14.29,42.86
Greater Noida,Uttam Nagar,7,5,1,2696.0,24.45,468.17,71.43,14.29
Greater Noida,Vaishali,7,2,3,619.0,21.97,513.67,28.57,42.86
Sushant Lok,Munirka,7,4,3,3157.0,19.83,789.25,57.14,42.86
Akshardham,Noida Extension,7,4,3,2570.0,23.83,642.5,57.14,42.86
Samaypur Badli,Peeragarhi,7,5,2,2585.0,24.18,517.0,71.43,28.57
Mundka,Paschim Vihar,7,4,2,2972.0,26.58,743.0,57.14,28.57
Mundka,Palam Vihar,7,5,1,3217.0,24.18,565.83,71.43,14.29
Green Park,AIIMS,7,5,2,2314.0,29.16,462.8,71.43,28.57
Hauz Rani,Narsinghpur,7,6,0,4460.0,24.65,743.33,85.71,0.0
Hauz Rani,Munirka,7,5,1,1642.0,34.92,328.4,71.43,14.29
Hauz Rani,Mundka,7,5,2,2935.0,25.75,587.0,71.43,28.57
Akshardham,New Delhi Railway Station,7,2,3,1060.0,22.37,530.0,28.57,42.86
Hauz Rani,Jor Bagh,7,5,1,1932.0,18.99,371.83,71.43,14.29
Rajiv Chowk,Panchsheel Park,7,6,1,3225.0,29.12,537.5,85.71,14.29
Mundka,Noida Sector 18,7,4,3,1082.0,26.97,270.5,57.14,42.86
Sushant Lok,Old Gurgaon,7,4,2,1832.0,29.43,458.0,57.14,28.57
Munirka,Barakhamba Road,7,4,3,2136.0,26.46,534.0,57.14,42.86
Greater Noida,Jama Masjid,7,4,2,3796.0,23.06,949.0,57.14,28.57
Greater Kailash,Moti Nagar,7,5,1,4245.0,30.31,849.0,71.43,14.29
Hero Honda Chowk,Cyber Hub,7,6,1,3002.0,25.99,500.33,85.71,14.29
Rajiv Chowk,Cyber Hub,7,4,3,1316.0,13.27,329.0,57.14,42.86
Munirka,New Delhi Railway Station,7,3,2,712.0,24.26,261.4,42.86,28.57
Munirka,New Colony,7,3,2,1257.0,24.04,602.6,42.86,28.57
Ambience Mall,Ghitorni,7,4,2,1262.0,28.03,332.6,57.14,28.57
Munirka,Nehru Place,7,2,3,2182.0,29.67,889.33,28.57,42.86
Karol Bagh,Shastri Nagar,7,2,2,791.0,20.24,591.5,28.57,28.57
Hero Honda Chowk,DLF Phase 3,7,5,1,2787.0,22.76,557.4,71.43,14.29
Greater Kailash,Satguru Ram Singh Marg,7,4,1,1280.0,30.39,441.4,57.14,14.29
Greater Kailash,Seelampur,7,7,0,3968.0,23.67,566.86,100.0,0.0
Keshav Puram,Golf Course Road,7,5,1,4268.0,38.16,853.6,71.43,14.29
Hauz Rani,Gurgaon Railway Station,7,5,1,2875.0,23.31,575.0,71.43,14.29
Ambience Mall,Cyber Hub,7,6,0,4741.0,30.93,790.17,85.71,0.0
Tilak Nagar,Lal Quila,7,7,0,3233.0,31.3,461.86,100.0,0.0
Greater Kailash,Sohna Road,7,4,2,729.0,20.57,224.6,57.14,28.57
Meerut,Nehru Place,7,5,1,2754.0,24.84,553.5,71.43,14.29
Rajiv Chowk,Dwarka Sector 21,7,4,0,2225.0,26.65,614.8,57.14,0.0
Sarojini Nagar,Central Secretariat,7,4,1,2565.0,28.75,641.25,57.14,14.29
Greater Kailash,Subhash Nagar,7,5,2,2636.0,15.44,527.2,71.43,28.57
Shivaji Park,Vinobapuri,7,5,0,4195.0,25.69,699.71,71.43,0.0
Ambience Mall,Chirag Delhi,7,4,1,1229.0,20.0,276.2,57.14,14.29
Greater Kailash,Tagore Garden,7,3,3,635.0,23.8,211.67,42.86,42.86
Tilak Nagar,Lajpat Nagar,7,4,2,1325.0,10.69,335.6,57.14,28.57
Samaypur Badli,Kalkaji,7,5,2,2473.0,19.26,494.6,71.43,28.57
Ambience Mall,Chandni Chowk,7,5,1,2198.0,25.1,469.0,71.43,14.29
Greater Kailash,Rajouri Garden,7,4,3,2121.0,39.97,530.25,57.14,42.86
Ramesh Nagar,Anand Vihar ISBT,7,3,3,1378.0,29.42,362.25,42.86,42.86
Welcome,Sonipat,7,2,3,1220.0,20.23,610.0,28.57,42.86
Sikanderpur,AIIMS,7,4,2,1183.0,21.6,323.2,57.14,28.57
Sushant Lok,Jama Masjid,7,5,1,1268.0,26.89,247.5,71.43,14.29
Ambience Mall,Inderlok,7,4,2,1535.0,25.46,383.75,57.14,28.57
Greater Kailash,Narsinghpur,7,2,4,689.0,14.16,344.5,28.57,57.14
Ambience Mall,ITO,7,5,1,5034.0,16.73,914.0,71.43,14.29
Hauz Rani,Golf Course Road,7,2,5,968.0,36.37,484.0,28.57,71.43
Greater Kailash,Netaji Subhash Place,7,6,0,3019.0,27.3,503.17,85.71,0.0
Meerut,Mansarovar Park,7,6,1,4677.0,25.79,779.5,85.71,14.29
Kaushambi,Sarojini Nagar,7,4,2,1664.0,31.41,416.0,57.14,28.57
Meerut,Mayur Vihar,7,3,1,1133.0,24.59,441.0,42.86,14.29
Munirka,Pitampura,7,3,2,1161.0,15.49,414.5,42.86,28.57
Samaypur Badli,ITO,7,5,1,2282.0,19.48,456.4,71.43,14.29
Karol Bagh,Raj Nagar Extension,7,2,4,1004.0,23.75,652.67,28.57,57.14
Samaypur Badli,Subhash Chowk,7,3,3,570.0,21.56,190.0,42.86,42.86
Kashmere Gate,Khan Market,7,3,3,1150.0,20.03,469.25,42.86,42.86
Keshav Puram,IFFCO Chowk,7,6,0,3221.0,26.89,472.14,85.71,0.0
Kashmere Gate,Keshav Puram,7,4,2,1809.0,32.69,452.25,57.14,28.57
Greater Kailash,Pataudi Chowk,7,4,2,2485.0,21.12,518.4,57.14,28.57
Greater Kailash,Patel Chowk,7,4,1,1466.0,22.97,403.4,57.14,14.29
Mundka,Ghitorni,7,2,4,977.0,15.58,878.0,28.57,57.14
Ambience Mall,Hauz Rani,7,4,2,2475.0,15.68,618.75,57.14,28.57
Rajiv Chowk,Bhiwadi,7,5,1,1773.0,30.9,354.6,71.43,14.29
Mehrauli,Faridabad Sector 15,7,6,1,2474.0,34.77,412.33,85.71,14.29
Munirka,Paharganj,7,6,1,1892.0,25.37,315.33,85.71,14.29
Greater Kailash,Uttam Nagar,7,1,5,429.0,16.77,429.0,14.29,71.43
Munirka,Kirti Nagar,7,3,4,568.0,26.52,189.33,42.86,57.14
Rajiv Chowk,Kashmere Gate ISBT,7,5,1,2720.0,24.76,575.0,71.43,14.29
Mundka,IIT Delhi,7,5,2,3048.0,29.31,609.6,71.43,28.57
Samaypur Badli,Satguru Ram Singh Marg,7,5,1,2191.0,15.4,438.2,71.43,14.29
Keshav Puram,Cyber Hub,7,5,1,2958.0,33.1,591.6,71.43,14.29
Akshardham,IGI Airport,7,5,1,2662.0,22.45,532.4,71.43,14.29
Kashmere Gate,Jhilmil,7,7,0,3653.0,20.81,521.86,100.0,0.0
Samaypur Badli,Laxmi Nagar,7,6,1,3417.0,33.68,569.5,85.71,14.29
Tilak Nagar,Subhash Nagar,7,6,1,3013.0,23.18,502.17,85.71,14.29
Greater Noida,Faridabad Sector 15,7,4,1,1209.0,8.89,439.0,57.14,14.29
Greater Noida,Ghaziabad,7,6,1,3984.0,30.86,664.0,85.71,14.29
Sarojini Nagar,Hero Honda Chowk,7,4,2,1714.0,21.48,428.5,57.14,28.57
Greater Noida,Golf Course Road,7,1,1,116.0,18.96,493.0,14.29,14.29
Greater Noida,Greater Kailash,7,0,6,0.0,9.16,610.0,0.0,85.71
Mundka,IMT Manesar,7,5,1,2079.0,25.63,415.8,71.43,14.29
Ambience Mall,Bhiwadi,7,3,2,2095.0,37.07,698.33,42.86,28.57
Akshardham,IMT Manesar,7,5,2,2341.0,22.36,468.2,71.43,28.57
Tilak Nagar,Shivaji Park,7,5,1,2536.0,23.18,556.5,71.43,14.29
Rajiv Chowk,Kadarpur,7,4,2,598.0,13.75,149.5,57.14,28.57
Akshardham,Uttam Nagar,7,4,3,2211.0,29.63,552.75,57.14,42.86
Shastri Park,Yamuna Bank,7,5,2,5561.0,27.52,1112.2,71.43,28.57
Welcome,Yamuna Bank,7,5,2,3570.0,26.59,714.0,71.43,28.57
Yamuna Bank,AIIMS,7,2,4,774.0,11.29,398.0,28.57,57.14
Kashmere Gate,Indirapuram,7,6,0,2086.0,24.2,347.67,85.71,0.0
